"Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"FDW58","OUT049",1850.47903092925
"FDW14","OUT017",1550.0675645097
"NCN55","OUT010",1872.71271582462
"FDQ58","OUT017",2623.18679498953
"FDY38","OUT027",5174.14446488221
"FDH56","OUT046",1925.58844727166
"FDL48","OUT018",602.106455935314
"FDC48","OUT027",2762.33803139778
"FDN33","OUT045",1511.88405146396
"FDA36","OUT017",3074.27289916657
"FDT44","OUT017",1996.74746751863
"FDQ56","OUT045",1309.28185631985
"NCC54","OUT019",1856.01936076593
"FDU11","OUT049",2033.99632278424
"DRL59","OUT013",904.228430284533
"FDM24","OUT049",2578.36741593762
"FDI57","OUT045",3058.72561694986
"DRC12","OUT018",2752.67220164473
"NCM42","OUT027",3182.5364095631
"FDA46","OUT010",1133.74895593026
"FDA31","OUT013",2822.41969219259
"NCJ31","OUT035",3884.20080770612
"FDG52","OUT046",798.574705961847
"NCL19","OUT019",406.873657959928
"FDS10","OUT035",3034.60695396675
"FDX22","OUT010",1499.00688458885
"NCF19","OUT035",918.056200070229
"NCE06","OUT046",2552.28353583141
"DRC27","OUT046",3831.99754330769
"FDE21","OUT035",2027.52772624831
"NCR42","OUT019",-1415.08114831202
"FDX51","OUT018",2845.22103211773
"NCR06","OUT018",410.2544273599
"FDU31","OUT027",4979.90553550476
"FDU59","OUT017",2721.68418948629
"FDR03","OUT027",4784.23894199907
"FDS49","OUT027",2736.98953337541
"FDD48","OUT010",-87.4799849855822
"NCF18","OUT017",3102.79189966386
"NCD43","OUT027",3087.80134474698
"NCD54","OUT018",2023.38319915992
"FDY19","OUT010",-35.675685740845
"NCY54","OUT017",2820.9190401133
"NCL19","OUT018",2063.94929636353
"FDP23","OUT010",1543.68466605271
"FDC26","OUT013",1809.67674307332
"FDR14","OUT010",-1017.86523001483
"NCS41","OUT035",3038.54604731854
"FDF41","OUT035",4023.34461482401
"FDU34","OUT046",1999.32678918145
"DRH11","OUT046",948.79964197396
"FDM03","OUT013",1722.32460777338
"FDS31","OUT017",3038.12759985909
"FDJ20","OUT017",2099.9034629628
"FDV44","OUT027",4496.63407359931
"FDG02","OUT049",3094.29610588854
"FDA09","OUT013",2924.73452781169
"FDT04","OUT013",649.6119223312
"FDL58","OUT019",2255.47425268891
"FDE52","OUT045",1424.76567025037
"FDW12","OUT035",2534.40473705893
"FDL51","OUT017",3570.18385155687
"NCY42","OUT027",3722.45497732344
"FDR07","OUT017",1668.82917057095
"FDN40","OUT045",2384.8803283651
"FDB35","OUT027",2958.33214698022
"FDA22","OUT017",2766.00938108917
"NCL06","OUT046",4065.73135490402
"FDI35","OUT013",2928.11434124893
"NCW42","OUT045",3422.9839439778
"NCX06","OUT049",2938.58906045515
"FDC37","OUT027",3186.97781026175
"FDZ14","OUT018",1713.26357009889
"DRG49","OUT049",3937.89638043032
"NCG06","OUT045",3917.87195850391
"DRC36","OUT045",2732.38153329569
"FDV21","OUT019",60.7427856204327
"FDB53","OUT046",2382.87570679112
"DRP47","OUT019",2012.29333367689
"FDA14","OUT013",2374.91238946431
"DRC24","OUT035",2600.22518564542
"FDW21","OUT018",1406.96476593293
"NCH29","OUT046",1555.5407302567
"FDU58","OUT013",3079.99482460829
"FDY27","OUT017",2930.95515817152
"FDV56","OUT035",1954.81483881457
"FDT59","OUT046",3653.53898421479
"FDB23","OUT046",3644.93755693759
"FDR49","OUT045",686.823557058535
"FDB03","OUT010",1898.92431758338
"FDN39","OUT045",2622.75944343669
"FDX02","OUT027",4988.62386025446
"FDQ16","OUT027",3178.76519836679
"FDU35","OUT018",1311.5567394073
"NCT29","OUT013",1962.14837353364
"FDZ27","OUT046",813.256896228196
"FDN57","OUT017",2397.59896825138
"FDA03","OUT018",2119.95503269575
"FDZ36","OUT045",2913.2272791907
"NCU05","OUT013",1322.78173705129
"FDT39","OUT018",2209.96970083445
"FDK60","OUT017",1697.68849295258
"FDZ25","OUT017",2855.34828041622
"FDG12","OUT046",1998.4896902164
"DRB01","OUT019",1103.1617252516
"NCC43","OUT027",5343.29581610951
"FDX13","OUT019",2002.35561775528
"FDM22","OUT049",1052.12865827516
"FDJ03","OUT027",2305.36634481892
"FDU14","OUT018",3643.77086258911
"FDB33","OUT010",666.042620606895
"FDP27","OUT046",2997.01889730494
"FDO38","OUT010",-691.932845169528
"FDE28","OUT027",5144.04993601233
"FDO27","OUT035",1688.73390877579
"DRL23","OUT027",3162.73964956382
"FDS28","OUT046",981.239643019275
"FDX24","OUT013",1527.94737963394
"FDZ02","OUT035",1734.17154039189
"FDL46","OUT045",1813.70750945928
"FDS60","OUT027",4296.89292821017
"NCO06","OUT017",591.774255142033
"FDO16","OUT035",1514.18362026663
"FDC60","OUT049",1530.78767344594
"FDA48","OUT018",3211.55896272076
"FDZ36","OUT027",4441.4139021787
"FDK27","OUT045",1861.90769956213
"FDW23","OUT018",355.485629699864
"FDM14","OUT018",1495.10807168656
"FDM14","OUT013",1773.28120455912
"FDW60","OUT018",2602.5204524809
"FDE21","OUT013",1913.17546815264
"NCM42","OUT035",1872.07377601392
"FDY59","OUT010",-400.177659418429
"DRI49","OUT049",1366.90894213102
"FDT28","OUT019",533.873553499037
"FDQ22","OUT018",397.031337372867
"FDR60","OUT049",1310.90652958739
"FDC50","OUT019",-409.396463726232
"FDV24","OUT013",2468.17594895762
"DRF48","OUT010",1062.92729406462
"FDQ47","OUT046",610.910503665176
"DRN36","OUT049",1650.48724794201
"NCY06","OUT035",2157.68138738277
"FDE52","OUT035",1628.10739864553
"NCB54","OUT045",1937.80045142025
"NCF31","OUT035",2575.32407722792
"FDJ08","OUT027",4454.90613867228
"NCC07","OUT017",1781.55613242915
"NCD19","OUT027",2337.65781465746
"FDL46","OUT049",2009.62662096959
"FDM20","OUT045",3818.88284554022
"NCI06","OUT010",922.265402258993
"DRM11","OUT035",4182.9087006302
"NCH07","OUT018",2232.34544257194
"FDS23","OUT013",2066.91754758414
"FDO49","OUT018",591.989826486449
"FDS35","OUT049",1185.8295041804
"DRK39","OUT045",1245.15827993907
"DRI39","OUT049",1058.8328087782
"FDV04","OUT017",2664.12193825886
"NCN14","OUT035",3020.03786616246
"FDH08","OUT013",3710.57243750162
"FDS20","OUT046",2919.96196035153
"FDV40","OUT049",1317.69866462617
"FDZ48","OUT010",-157.184289735113
"FDS24","OUT027",2898.10679755614
"FDK44","OUT049",2876.40868104148
"FDS48","OUT045",2365.30648855256
"FDK26","OUT010",1091.73634958396
"FDD23","OUT045",2974.05478423177
"NCH54","OUT017",2660.97592397792
"NCP14","OUT010",-259.567326089755
"FDM60","OUT010",-1225.2662786933
"FDV24","OUT017",2532.95453677044
"FDH08","OUT018",3370.51033782513
"FDS12","OUT027",3454.1141844742
"FDR39","OUT027",4309.37129100283
"FDP12","OUT027",2087.82283986723
"DRF60","OUT027",5170.23636894754
"FDC09","OUT035",1855.33735156271
"FDF50","OUT018",2837.95525858693
"FDG28","OUT035",4023.13170638604
"NCE19","OUT017",1003.66906212814
"NCM53","OUT010",-197.562279897994
"NCN18","OUT049",1832.30262789934
"FDF32","OUT035",3292.69505542367
"FDF11","OUT013",3870.27618763839
"DRI59","OUT049",3660.73717269925
"NCG54","OUT035",2817.34465619161
"FDM44","OUT046",1647.95153177219
"FDT57","OUT018",3475.1064192703
"FDV24","OUT046",2428.38570411991
"FDI50","OUT019",1757.49407399288
"FDS09","OUT035",1057.80913086862
"NCC31","OUT027",3917.79579764971
"FDQ07","OUT019",1627.46265105188
"FDC22","OUT017",3174.94880023058
"FDZ56","OUT046",2727.49520041324
"FDZ40","OUT019",-986.975937094502
"FDS46","OUT027",3397.60722994197
"DRD24","OUT045",2206.65204774227
"FDV45","OUT017",3113.57664912493
"FDL26","OUT045",2433.43891306148
"FDA56","OUT018",1709.37723692292
"FDN27","OUT046",1886.04432833976
"FDM20","OUT049",3967.87339380773
"FDO16","OUT017",1444.67724013645
"FDL03","OUT035",3273.98449020011
"FDE58","OUT046",1884.32061368469
"FDI02","OUT027",3273.12223075274
"NCC55","OUT019",-1295.27500509486
"FDR03","OUT018",3068.11179841598
"FDB14","OUT017",1623.33252562829
"FDR45","OUT013",3846.62735492423
"NCN07","OUT017",2160.45233067588
"FDM51","OUT019",-212.667692879427
"FDT52","OUT027",5343.47480730516
"FDL26","OUT046",2480.50320601454
"NCZ42","OUT046",3747.33367550728
"DRI47","OUT019",455.07759355486
"FDW40","OUT013",2351.8783420873
"FDN34","OUT046",2763.22140508982
"FDS01","OUT035",2988.64030796909
"NCG55","OUT045",1761.62967902127
"FDC11","OUT035",1547.12243869649
"FDX35","OUT018",3345.42537112962
"NCB06","OUT046",2555.28352974906
"FDR09","OUT019",2165.36636171292
"FDC53","OUT017",1670.70576494593
"FDY45","OUT013",4048.82138377327
"FDA22","OUT010",779.783127916298
"FDE02","OUT035",1660.4202023359
"FDW21","OUT045",1617.53766492013
"FDV34","OUT046",1249.61120886575
"FDS59","OUT049",1885.05009032485
"NCW17","OUT017",2131.66983717284
"NCK54","OUT046",1848.21412622242
"FDG17","OUT019",1987.33288312766
"FDG35","OUT017",2931.15783067679
"FDD08","OUT010",-1275.89480713231
"NCO07","OUT017",3472.74222001281
"FDJ10","OUT010",419.957103521591
"FDW36","OUT017",1771.1199918198
"FDW21","OUT010",-220.662951893532
"FDY19","OUT017",2005.66985000603
"DRE03","OUT013",812.318983925446
"NCC55","OUT049",692.427736644206
"FDH52","OUT010",-796.437038145865
"FDO09","OUT017",4273.33912756298
"FDU43","OUT045",3761.13974900549
"FDX09","OUT010",881.464103091054
"FDH40","OUT019",-532.39803717653
"FDW58","OUT017",1804.24766281104
"FDC47","OUT017",3706.28686054646
"NCR41","OUT035",1656.36164002393
"DRG49","OUT035",3977.88329802369
"FDC52","OUT027",3953.23770899417
"FDY13","OUT046",1203.72051927576
"FDY35","OUT013",812.456236457138
"FDI35","OUT017",3007.60583334538
"NCU18","OUT049",2361.9674689812
"FDY33","OUT018",2318.37693375439
"FDC15","OUT027",3952.8012570184
"FDU01","OUT049",3103.01955836173
"NCU42","OUT046",2687.57293803443
"NCV29","OUT018",2544.05347595596
"NCY30","OUT017",2983.24595603806
"FDQ46","OUT049",1895.3219775692
"FDG58","OUT027",3977.2542325056
"FDK33","OUT017",3530.93678237196
"NCD07","OUT045",1749.33054207773
"NCX29","OUT027",3767.3669860891
"NCT42","OUT013",2405.50221916031
"DRN59","OUT035",898.503605208569
"FDI44","OUT035",1420.6889311774
"FDA45","OUT049",2925.72099838899
"FDP31","OUT045",1077.57379679494
"FDY01","OUT046",1857.55500477749
"FDT09","OUT018",1898.12791691177
"DRH03","OUT027",2962.75839417127
"FDA36","OUT018",2691.58604899661
"NCF31","OUT017",2546.55153596145
"FDG14","OUT049",2579.76126671798
"FDG28","OUT027",5351.50875790439
